timestamp,accX,accY,accZ
168194991,-0.25,0.70,0.64
168196974,-0.25,0.70,0.64
168198971,-0.25,0.70,0.64
168201031,-0.25,0.70,0.64
168203013,-0.24,0.71,0.67
168205014,-0.24,0.71,0.67
168207039,-0.24,0.71,0.67
168209036,-0.24,0.71,0.67
168211014,-0.24,0.71,0.67
168213009,-0.25,0.73,0.68
168215053,-0.25,0.73,0.68
168217035,-0.25,0.73,0.68
168218992,-0.25,0.73,0.68
168220967,-0.25,0.73,0.68
168222966,-0.24,0.73,0.68
168224974,-0.24,0.73,0.68
168227015,-0.24,0.73,0.68
168228967,-0.24,0.73,0.68
168230980,-0.24,0.73,0.68
168232971,-0.25,0.68,0.66
168234969,-0.25,0.68,0.66
168236967,-0.25,0.68,0.66
168238969,-0.25,0.68,0.66
168241057,-0.25,0.68,0.66
168243011,-0.25,0.67,0.64
168245009,-0.25,0.67,0.64
168247009,-0.25,0.67,0.64
168249009,-0.25,0.67,0.64
168251013,-0.25,0.67,0.64
168253039,-0.25,0.66,0.66
168255062,-0.25,0.66,0.66
168257009,-0.25,0.66,0.66
168258968,-0.25,0.66,0.66
168260969,-0.25,0.66,0.66
168262966,-0.24,0.66,0.68
168265048,-0.24,0.66,0.68
168267001,-0.24,0.66,0.68
168268957,-0.24,0.66,0.68
168270958,-0.24,0.66,0.68
168273017,-0.25,0.67,0.67
168274967,-0.25,0.67,0.67
168276969,-0.25,0.67,0.67
168278959,-0.25,0.67,0.67
168281119,-0.25,0.67,0.67
168283017,-0.25,0.67,0.67
168285009,-0.25,0.68,0.67
168287027,-0.25,0.68,0.67
168289040,-0.25,0.68,0.67
168291044,-0.25,0.68,0.67
168293016,-0.25,0.68,0.67
168295016,-0.25,0.68,0.70
168297046,-0.25,0.68,0.70
168299016,-0.25,0.68,0.70
168300969,-0.25,0.68,0.70
168302966,-0.25,0.68,0.70
168304999,-0.24,0.67,0.69
168307040,-0.24,0.67,0.69
168308972,-0.24,0.67,0.69
168310966,-0.24,0.67,0.69
168313006,-0.24,0.67,0.69
168315046,-0.25,0.69,0.69
168316970,-0.25,0.69,0.69
168318981,-0.25,0.69,0.69
168321028,-0.25,0.69,0.69
168323013,-0.25,0.69,0.69
168325015,-0.24,0.67,0.70
168327038,-0.24,0.67,0.70
168329034,-0.24,0.67,0.70
168331009,-0.24,0.67,0.70
168333006,-0.24,0.67,0.70
168335035,-0.24,0.64,0.70
168337052,-0.24,0.64,0.70
168338998,-0.24,0.64,0.70
168341000,-0.24,0.64,0.70
168342968,-0.24,0.64,0.70
168345010,-0.24,0.67,0.70
168347006,-0.24,0.67,0.70
168348971,-0.24,0.67,0.70
168350965,-0.24,0.67,0.70
168352969,-0.24,0.67,0.70
168355005,-0.24,0.67,0.70
168356965,-0.23,0.65,0.71
168358968,-0.23,0.65,0.71
168361030,-0.23,0.65,0.71
168363015,-0.23,0.65,0.71
168365032,-0.23,0.65,0.71
168367010,-0.24,0.63,0.71
168369006,-0.24,0.63,0.71
168371042,-0.24,0.63,0.71
168373033,-0.24,0.63,0.71
168375018,-0.24,0.63,0.71
168376993,-0.23,0.63,0.73
168378974,-0.23,0.63,0.73
168381004,-0.23,0.63,0.73
168383046,-0.23,0.63,0.73
168385002,-0.23,0.63,0.73
168386958,-0.23,0.64,0.73
168388958,-0.23,0.64,0.73
168390996,-0.23,0.64,0.73
168392974,-0.23,0.64,0.73
168394986,-0.23,0.64,0.73
168396969,-0.25,0.61,0.71
168398971,-0.25,0.61,0.71
168401041,-0.25,0.61,0.71
168403042,-0.25,0.61,0.71
168405022,-0.25,0.61,0.71
168407008,-0.24,0.59,0.73
168409007,-0.24,0.59,0.73
168411015,-0.24,0.59,0.73
168413038,-0.24,0.59,0.73
168415044,-0.24,0.59,0.73
168417006,-0.23,0.63,0.75
168418966,-0.23,0.63,0.75
168420966,-0.23,0.63,0.75
168422970,-0.23,0.63,0.75
168424974,-0.23,0.63,0.75
168426968,-0.23,0.63,0.75
168428974,-0.23,0.62,0.75
168430972,-0.23,0.62,0.75
168432968,-0.23,0.62,0.75
168434965,-0.23,0.62,0.75
168436967,-0.23,0.62,0.75
168438966,-0.25,0.60,0.72
168441017,-0.25,0.60,0.72
168443010,-0.25,0.60,0.72
168445010,-0.25,0.60,0.72
168447021,-0.25,0.60,0.72
168449080,-0.25,0.59,0.72
168451035,-0.25,0.59,0.72
168453016,-0.25,0.59,0.72
168455005,-0.25,0.59,0.72
168456975,-0.25,0.59,0.72
168459015,-0.23,0.62,0.75
168460970,-0.23,0.62,0.75
168462966,-0.23,0.62,0.75
168464990,-0.23,0.62,0.75
168466980,-0.23,0.62,0.75
168469040,-0.23,0.61,0.75
168470980,-0.23,0.61,0.75
168472967,-0.23,0.61,0.75
168474966,-0.23,0.61,0.75
168477017,-0.23,0.61,0.75
168479014,-0.23,0.60,0.74
168481050,-0.23,0.60,0.74
168483024,-0.23,0.60,0.74
168485011,-0.23,0.60,0.74
168487015,-0.23,0.60,0.74
168489015,-0.23,0.61,0.74
168491038,-0.23,0.61,0.74
168493039,-0.23,0.61,0.74
168495032,-0.23,0.61,0.74
168497016,-0.23,0.61,0.74
168498969,-0.23,0.59,0.75
168500967,-0.23,0.59,0.75
168502967,-0.23,0.59,0.75
168504969,-0.23,0.59,0.75
168506967,-0.23,0.59,0.75
168509041,-0.23,0.59,0.75
168511010,-0.22,0.59,0.77
168512971,-0.22,0.59,0.77
168514958,-0.22,0.59,0.77
168516984,-0.22,0.59,0.77
168519016,-0.22,0.59,0.77
168521026,-0.23,0.60,0.76
168523011,-0.23,0.60,0.76
168525010,-0.23,0.60,0.76
168527009,-0.23,0.60,0.76
168529011,-0.23,0.60,0.76
